Timestamp;test_speed_out[2];test_speed_out[3];test_current_out[2];test_current_out[3];WheelCurrentSend[2];WheelCurrentSend[3]
673000;-500;-500;0;1;-500;-500
674000;-500;-500;2;-2;-500;-500
676000;-500;-500;0;-5;-500;-500
677000;-500;-500;0;-5;-500;-500
678000;-500;-500;-4;-2;-500;-500
680000;-500;-500;-2;0;-500;-500
681000;-500;-500;-2;0;-500;-500
682000;-500;-500;0;1;-500;-500
683000;-500;-500;1;-1;-500;-500
685000;-500;-500;1;-1;-500;-500
686000;-500;-500;4;-2;-500;-500
687000;-500;-500;4;-2;-500;-500
689000;-500;-500;10;-3;-500;-500
690000;-500;-500;8;-4;-500;-500
691000;-500;-500;8;0;-500;-500
693000;-500;-500;3;0;-500;-500
694000;-500;-500;2;3;-500;-500
695000;-500;-500;2;3;-500;-500
696000;-500;-500;10;0;-500;-500
698000;-500;-500;11;-1;-500;-500
699000;-500;-500;11;-1;-500;-500
700000;-500;-500;1;0;-500;-500
702000;-500;-500;-3;0;-500;-500
703000;-500;-500;-3;0;-500;-500
704000;-500;-500;-6;-3;-500;-500
706000;-500;-500;-7;-6;-500;-500
707000;-500;-500;-7;-6;-500;-500
708000;-500;-500;-4;-6;-500;-500
709000;-500;-500;-4;-6;-500;-500
711000;-500;-500;-2;-2;-500;-500
712000;-500;-500;-3;3;-500;-500
714000;-500;-500;-1;10;-500;-500
715000;-500;-500;-1;10;-500;-500
716000;-520;-520;-4;7;-520;-520
717000;-520;-520;-4;7;-500;-500
719000;-500;-500;0;3;-500;-500
720000;-500;-500;3;-2;-500;-500
721000;-500;-500;3;-2;-500;-500
722000;-500;-500;6;-5;-500;-500
724000;-500;-500;2;-1;-500;-500
725000;-500;-500;2;-1;-500;-500
727000;-500;-500;1;4;-500;-500
728000;-500;-500;8;2;-500;-500
729000;-500;-500;8;2;-500;-500
730000;-500;-500;9;-1;-500;-500
732000;-500;-500;9;-3;-500;-500
733000;-500;-500;3;-3;-500;-500
734000;-500;-500;3;-5;-500;-500
735000;-500;-500;3;-5;-500;-500
737000;-500;-500;5;-3;-500;-500
738000;-500;-500;3;-3;-500;-500
740000;-500;-500;3;-3;-500;-500
741000;-500;-500;1;-6;-500;-500
742000;-500;-500;-3;-7;-500;-500
743000;-500;-500;-3;-7;-500;-520
745000;-520;-520;-9;-5;-520;-520
746000;-520;-520;-6;-1;-520;-520
747000;-520;-520;-6;-1;-520;-520
749000;-500;-500;-4;3;-500;-500
750000;-500;-520;-10;4;-520;-520
751000;-520;-520;-10;4;-520;-520
752000;-500;-500;-6;17;-500;-500
754000;-500;-500;-6;17;-500;-500
755000;-500;-500;-6;17;-500;-500
756000;-500;-500;-5;6;-500;-500
757000;-500;-500;-5;6;-500;-500
759000;-500;-500;-3;2;-500;-500
760000;-500;-500;0;1;-500;-500
762000;-500;-500;0;1;-500;-500
763000;-500;-500;6;1;-500;-500
764000;-500;-500;6;3;-500;-500
765000;-500;-500;6;3;-500;-500
767000;-500;-500;3;8;-500;-500
768000;-500;-500;3;10;-500;-500
769000;-500;-500;0;10;-500;-500
770000;-500;-500;-1;7;-500;-500
772000;-500;-500;-2;2;-500;-500
773000;-500;-500;-2;2;-500;-500
775000;-500;-500;-2;-1;-500;-500
776000;-500;-500;-2;-2;-500;-500
777000;-500;-500;0;-2;-500;-500
778000;-520;-520;-3;-5;-520;-520
780000;-520;-520;-3;-5;-500;-500
781000;-500;-500;-2;0;-500;-500
782000;-500;-500;-1;5;-500;-500
784000;-500;-500;-1;5;-500;-500
785000;-500;-500;-2;7;-500;-500
786000;-520;-520;-10;1;-520;-520
788000;-520;-520;-10;1;-520;-500
789000;-500;-500;-11;2;-500;-500
790000;-500;-500;-8;0;-500;-500
791000;-500;-500;-8;0;-500;-500
793000;-500;-500;-1;-1;-500;-500
794000;-500;-500;-1;-1;-500;-500
795000;-500;-500;3;-1;-500;-500
797000;-500;-500;1;0;-500;-500
798000;-500;-500;0;-1;-500;-500
799000;-500;-500;0;-1;-500;-500
801000;-500;-500;0;-1;-500;-500
802000;-500;-500;0;-1;-500;-500
803000;-500;-500;0;0;-500;-500
804000;-500;-500;3;-1;-500;-500
806000;-500;-500;3;-1;-500;-500
807000;-500;-500;5;-1;-500;-500
808000;-500;-500;3;2;-500;-500
810000;-500;-500;3;2;-500;-500
811000;-500;-500;2;5;-500;-500
812000;-500;-500;1;5;-500;-500
813000;-500;-500;1;5;-500;-500
815000;-500;-500;0;3;-500;-500
816000;-500;-500;0;2;-500;-500
817000;-500;-500;-2;2;-500;-500
819000;-500;-500;-3;2;-500;-500
820000;-500;-500;-2;2;-500;-500
821000;-500;-500;-2;2;-500;-500
823000;-500;-500;-1;2;-500;-500
824000;-500;-500;-1;2;-500;-500
825000;-500;-500;-4;3;-500;-500
826000;-500;-500;-10;4;-500;-500
828000;-500;-500;-10;4;-500;-500
829000;-500;-500;-10;0;-500;-500
831000;-520;-520;-8;-8;-520;-520
832000;-520;-520;-8;-8;-520;-520
833000;-520;-520;-5;-7;-520;-520
834000;-520;-520;-2;-7;-520;-520
836000;-520;-520;-2;-7;-520;-520
837000;-500;-500;-2;-6;-500;-500
838000;-500;-500;-2;-4;-500;-500
839000;-500;-500;-7;-4;-500;-500
841000;-520;-520;-7;-6;-520;-520
842000;-520;-520;-1;-1;-500;-500
